주소,위도,경도,지점
서울특별시 강남구 역삼동 814-6 스타플렉스서울특별시 강남구 강남대로 438  (역삼동),127.0263905,37.5016542,CGV강남
서울특별시 광진구 구의동 546-4 테크노마트 10층서울특별시 광진구 광나루로56길 85 (구의동),127.0957763,37.5357043,CGV강변
서울시 광진구 자양동 9-4 몰오브케이 3층서울시 광진구 아차산로 30길 26 몰오브케이 3층,127.0669454,37.5397932,CGV건대입구
서울특별시 구로구 구로5동 573번지 NC신구로점 6층서울특별시 구로구 구로중앙로 152 (구로동),126.882844,37.501188,CGV구로
서울특별시 종로구 명륜2가 41-9서울 종로구 대명길 (명륜동),126.9998487,37.5834726,CGV대학로
서울시 중구 을지로6가 17-2 현대시티아울렛 10층서울시 중구 장충단로 13길 20 현대시티아울렛 10층,127.0077487,37.5686422,CGV동대문
서울특별시 강서구 등촌동 639-23 3층~7층서울특별시 강서구 공항대로45길 63 3층~7층 (등촌동),126.8560652,37.5578822,CGV등촌
서울특별시 중구 명동2가 83-5번지 눈스퀘어 8층서울특별시 중구 명동길 14  (명동),126.9828988,37.5634253,CGV명동
"서울특별시 중구 충무로2가 65-9 하이해리엇 10,11층서울특별시 중구 퇴계로 123  (명동)",126.985343,37.5613449,CGV명동역 씨네라이브러리
"서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 9층서울특별시 강북구 도봉로 34, 9층(미아동)",127.0307587,37.6120705,CGV미아
"서울특별시 도봉구 방학동 707-6, 4F~8F서울특별시 도봉구 도봉로 684, 4F~8F",127.0436789,37.6653512,CGV방학
"서울특별시 은평구 대조동 14-24 팜스퀘어 11층서울특별시 은평구 불광로 20, 11층(대조동)",126.9284815,37.609625,CGV불광
서울시 중랑구 상봉동 79-9 상봉듀오트리스 B2F서울시 중랑구 상봉로 131 (상봉동),127.0922199,37.5973008,CGV상봉
"서울특별시 성북구 동선동 1가 1-2, 10-12층서울특별시 성북구 동소문로 106, 10-12층",127.0171859,37.59262,CGV성신여대입구
"서울특별시 송파구 장지동 201-27 가든파이브 라이프 영관 10층서울특별시 송파구 충민로 66, 10층(문정동)",127.125894,37.4786741,CGV송파
서울시 강북구 수유동 168-12서울시 강북구 도봉로 399,127.0298677,37.6423931,CGV수유
"서울특별시 서대문구 창천동 20-25 아트레온 2층서울특별시 서대문구 신촌로 129 , 2층(창천동)",126.940232,37.5565693,CGV신촌아트레온
"서울특별시 강남구 신사동 602, 603-2서울특별시 강남구 압구정로30길 45  (신사동)",127.0294301,37.5243474,CGV압구정
서울 마포구 동교동 167-13서울시 마포구 양화로 186 (동교동),126.9258276,37.5578055,CGV연남 with 토레타!
"서울특별시 영등포구 영등포동 4가 441-10번지 경방 타임스퀘어 4~7층서울시 영등포구 영중로 15, 4층 (영등포동)",126.9032983,37.5170147,CGV영등포
"서울특별시 성동구 행당동 168-1 왕십리 민자역사 5층서울특별시 성동구 왕십리광장로 17, 5층(행당동)",127.0380682,37.5636841,CGV왕십리
"서울특별시 용산구 한강로 3가 40-999 HDC아이파크몰 6층서울특별시 용산구 한강대로23길 55, 6층(한강로동)",126.9641607,37.5295628,CGV용산아이파크몰
"서울특별시 노원구 중계동 509-2 홈플러스 중계점 8층서울특별시 노원구 동일로204가길 12, 8층(중계동)",127.0686141,37.639929,CGV중계
서울시 강동구 천호동42 홈플러스 4층서울시 강동구 양재대로 1571 홈플러스 4층,127.142281,37.5457197,CGV천호
서울특별시 강남구 신사동 651-21서울특별시 강남구 도산대로 323  (신사동),127.0370628,37.5228996,CGV청담씨네시티
서울특별시 종로구 돈의동 137 지하2층서울특별시 종로구 돈화문로5가길 1 지하2층,126.9912337,37.5710437,CGV피카디리1958
"서울특별시 노원구 중계동 506-1 건영백화점 지하1층서울특별시 노원구 섬밭로 258, 지하1층(중계동)",127.0647694,37.6388313,CGV하계
서울특별시 마포구 동교동 159-8서울특별시 마포구 양화로 153 (동교동) 4층,126.9227638,37.556433,CGV홍대
경기도 광주시 역동16-1 2층경기도 광주시 중앙로89 2층,127.2584596,37.407587,CGV경기광주
경기도 고양시 일산동구 백석동 1242 고양종합터미널 5~7F경기도 고양시 일산동구 중앙로 1036 고양종합터미널  5~7F,126.7897258,37.6432565,CGV고양백석
"경기도 고양시 덕양구 행신동 762-2,3 로터스플레이스 5F경기도 고양시 덕양구 충장로 8 로터스플레이스 5F",126.8345112,37.6136194,CGV고양행신
경기도 수원시 영통구 하동 1017-2 갤러리아백화점 10층경기도 수원시 영통구 광교중앙로 124 갤러리아백화점 광교점 10층,127.0573994,37.2852032,CGV광교
경기도 용인시 수지구 상현동 1116-4 W스퀘어 2층,127.0680994,37.2969288,CGV광교상현
경기도 광명시 일직동 514 GIDC B동 지하2층경기도 광명시 일직로 43 GIDC B동 지하2층,126.8869104,37.4228425,CGV광명역
경기도 구리시 인창동 676-2번지 2층경기도 구리시 경춘로 243 2층,127.1420859,37.6018085,CGV구리
"경기도 구리시 갈매동 552-4, 힐스테이트 갈매역 스칸센 B동 B1~B2경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센 B동 B1~B2",127.1231394,37.6357051,CGV구리갈매
"경기도 용인시 기흥구 구갈동 298-2, 기흥ICT밸리 SK V1 B동 지하2층경기도 용인시 기흥구 기흥로 58-1, 기흥ICT밸리 SK V1 B동 지하2층",127.1174543,37.2807465,CGV기흥
경기도 김포시 풍무동 202-1 김포풍무웰라움퍼펙트시티 5층경기도 김포시 풍무로 128 김포풍무웰라움퍼펙트시티 5층,126.7235567,37.6070147,CGV김포
김포시 운양동 1296-9번지 에이스프라자 7층경기도 김포시 김포한강11로 288-31 에이스프라자 7층,126.6840464,37.6548576,CGV김포운양
경기도 김포시 걸포동 1574-3 케이탑리츠 김포빌딩 7층경기도 김포시 걸포로 6 케이탑리츠 김포빌딩 7층 (걸포동),126.7072535,37.6322184,CGV김포한강
"경기도 남양주시 화도읍 녹촌리 산 19 해동 CGV 본타워 2,3층경기도 남양주시 경춘로 1876번길 40 해동 CGV 본타워 2,3층",127.2957717,37.649431,CGV남양주 화도
경기도 남양주시 다산순환로 20 현대프리미어캠퍼스 지하2층,127.15169,37.6126775,CGV다산
"경기도 동두천시 생연동 364-1 시네마플러스 5F~6F경기도 동두천시 평화로 2346, 5F~6F(생연동, 시네마플러스)",127.0583336,37.897195,CGV동두천
경기도 용인시 기흥구 중동 833번지 쥬네브썬월드빌딩경기도 용인시 기흥구 동백죽전대로 444  (중동),127.1517093,37.2780425,CGV동백
"경기도 수원시 팔달구 인계동 1113-11,12 씨네파크 7층경기도 수원시 팔달구 권광로 181, 7층 (인계동)",127.0322508,37.2639541,CGV동수원
