주소,지점,위도,경도
서울 금천구 디지털로10길 9 (가산동),서울_가산디지털,126.8891282,37.4775997
서울 강서구 양천로 476 (등촌동) 4층,서울_가양,126.8532854,37.5616037
서울특별시 강동구 천호옛길 85,서울_강동,127.1253535,37.5366647
"서울 광진구 아차산로 262 (자양동, 더샵스타시티)",서울_건대입구,127.0725939,37.5375105
서울 노원구 동일로 1414 (상계동) 롯데백화점,서울_노원,127.0611155,37.6551095
서울 강남구 남부순환로 2753,서울_도곡,127.0469896,37.4874808
서울 금천구 시흥대로 399 (독산동),서울_독산,126.8970019,37.4693592
"서울 강남구 논현동,3-5",서울_브로드웨이(신사),127.0219600,37.5164491
서울 관악구 남부순환로 1820 (봉천동),서울_서울대입구,126.9521426,37.4809760
서울 노원구 동일로 1660 (상계동) 3층 롯데시네마,서울_수락산,127.0556934,37.6765981
서울 강북구 도봉로 308 (번동),서울_수유,127.0238352,37.6356641
"서울 동작구 시흥대로 606 (신대방동, 동작 협성휴포레 시그니처) B2F",서울_신대방(구로디지털역),126.9052365,37.4864582
"서울 구로구 경인로 662 (신도림동, 디큐브시티)",서울_신도림,126.8884274,37.5083236
서울 관악구 신림로 330(신림동) 타임스트림(구 포도몰) 10층-15층,서울_신림,126.9302425,37.4838598
서울 중구 남대문로 73 (소공동),서울_에비뉴엘(명동),126.9817070,37.5641952
서울 영등포구 경인로 846 (영등포동) 민자역사 7층,서울_영등포,126.9076660,37.5156680
서울 용산구 청파로 74 (한강로3가),서울_용산,126.9596573,37.5327771
서울 송파구 올림픽로 300 (신천동) 5층-11층,서울_월드타워,127.1025625,37.5125702
서울 은평구 통일로 1050 (진관동),서울_은평(롯데몰),126.9179003,37.6375366
서울 중랑구 동일로 951 (묵동),서울_중랑,127.0760571,37.6151500
서울 동대문구 왕산로 214 (전농동),서울_청량리,127.0511390,37.5841971
"서울 마포구 양화로 45 (서교동, 메세나폴리스) 2층",서울_합정,126.9137390,37.5510463
서울 마포구 양화로 176 (동교동) 와이즈파크 8F ~ 11F,서울_홍대입구,126.9249991,37.5572510
경기 수원시 영통구 도청로 10 (이의동),경기/인천_광교아울렛,127.0554484,37.2866697
경기 광명시 오리로 970 (광명동),경기/인천_광명(광명사거리),126.8556293,37.4794445
경기 광명시 일직로 17 (일직동),경기/인천_광명아울렛,126.8827677,37.4243049
경기 광주시 광주대로 30 (경안동),경기/인천_광주터미널,127.2612629,37.4096153
경기 구리시 동구릉로136번길 47 (인창동),경기/인천_구리아울렛,127.1405479,37.6118666
경기 화성시 동탄역로 160 (오산동) 롯데시네마 동탄(롯데백화점 7F),경기/인천_동탄,127.0979228,37.2006732
"경기 고양시 일산동구 무궁화로 32-34 (장항동,일산 라페스타 C동) 3층",경기/인천_라페스타,126.7688372,37.6612864
경기 남양주시 화도읍 경춘로 1992,경기/인천_마석,127.3093365,37.6501433
경기 남양주시 별내중앙로 10 (별내동),경기/인천_별내,127.1272920,37.6448465
"경기 화성시 효행로 1052 (병점동, 씨네샤르망 A동 6층-10층)",경기/인천_병점,127.0424570,37.2139460
경기 부천시 길주로 280 (중동),경기/인천_부천(신중동역),126.7732053,37.5028819
경기 부천시 부천로 11 잼존프라자 5층,경기/인천_부천역,126.7823188,37.4855538
인천 부평구 대정로 66 (부평동) 6층-10층,경기/인천_부평,126.7266952,37.4935756
인천 부평구 주부토로 236 (갈산동) B동 3층 롯데시네마 부평갈산,경기/인천_부평갈산,126.7268033,37.5158606
인천 부평구 광장로 16 (부평동) 7층,경기/인천_부평역사,126.7233507,37.4895676
경기 수원시 장안구 천천로 100 (천천동),경기/인천_북수원(천천동),126.9840731,37.3006051
경기 군포시 번영로 485 (산본동),경기/인천_산본피트인,126.9306320,37.3578642
경기도 수원시 권선구 금곡로 219 (금곡동),경기/인천_서수원,126.9540792,37.2750009
경기 성남시 수정구 산성대로 267 (신흥동),경기/인천_성남중앙(신흥역),127.1464467,37.4413240
경기 안산시 단원구 고잔로 108 (고잔동) 7층,경기/인천_센트럴락,126.8380550,37.3185840
경기 평택시 관광특구로 19 (서정동),경기/인천_송탄,127.0609138,37.0672656
경기 수원시 권선구 세화로 134 5층,경기/인천_수원(수원역),126.9972390,37.2642663
경기도 용인시 수지구 성복2로 38 (성복동),경기/인천_수지,127.0816130,37.3128099
경기 시흥시 마유로 418번길 10 (정왕동) 3층,경기/인천_시화(정왕역),126.7418288,37.3514417
