주소,위도,경도,지점
서울특별시 서초구 서초대로 77길 3 (서초동) 아라타워 8층,127.0264971,37.4980499,강남
서울특별시 강동구 성내로 48,127.1253771,37.5284555,강동
서울특별시 광진구 능동로 289(군자동),127.0783511,37.5558022,군자
"서울특별시 양천구 목동동로 257, (목동) 현대백화점유플렉스 목동점 지하2층",126.8744941,37.5269242,더 부티크 목동현대백화점
"서울특별시 중구 장충단로 247, (을지로6가) 굿모닝시티 9층",127.0073812,37.5668017,동대문
"서울특별시 강서구 공항대로 247, (마곡동) 퀸즈파크나인 B동 4층",126.8352391,37.5593135,마곡
"서울특별시 양천구 목동동로 309, (목동) 행복한백화점 6층",126.8759727,37.5291902,목동
"서울특별시 중랑구 망우로 30길 3, (상봉동) 안산빌딩 4층",127.074771,37.5930848,상봉
"서울특별시 마포구 월드컵로 240, (성산동) 월드컵주경기장 1층",126.8972733,37.5682553,상암월드컵경기장
"서울특별시 성동구 왕십리로 50, (성수동 1가) 메가박스스퀘어 3층",127.0449128,37.5418864,성수
"서울특별시 서초구 신반포로 176, (반포동) 센트럴시티 빌딩 지하1층",127.0047519,37.5038952,센트럴
"서울특별시 송파구 송파대로 111,(문정동,파크하비오푸르지오) 204동 지하1층 메가박스",127.1232611,37.4805094,송파파크하비오
"서울특별시 서대문구 신촌역로 30, (신촌동) 신촌민자역사 5층",126.942387,37.5598242,신촌
"서울특별시 동작구 동작대로 89, (사당동) 골든시네마타워 7층",126.9816553,37.4846358,이수
서울특별시 도봉구 도봉로 558 (창동),127.0387322,37.6546022,창동
"서울특별시 강남구 봉은사로524, (삼성동) 코엑스몰 지하2층",127.0572911,37.5128784,코엑스
"서울특별시 마포구 양화로 147, (동교동) 아일렉스 7층",126.9220541,37.556049,홍대
"서울특별시 강서구 화곡로 142, (화곡동) 메가스퀘어 4층",126.8376195,37.5405706,화곡
경기도 고양시 덕양구 고양대로 1955 (동산동) 스타필드고양 4층,126.894778,37.6469771,고양스타필드
"경기도 광명시 양지로 17, (일직동) AK플라자 광명점 지하1층",126.8828897,37.4186807,광명AK플라자
"경기도 광명시 소하로 190, (소하동) G-타워 지하1층",126.8941984,37.4458356,광명소하
"경기도 군포시 엘에스로143, (금정동) AK플라자금정 1층",126.9445261,37.3726348,금정AK플라자
